Index,Incoming Calls,Incoming New Calls,Incoming Handoff Calls,Answered Calls,Answered New Calls,Answered Handoff Calls,Call Answering Rate,Blocked Calls,Blocking Probability,Dropping Probability,Response Time
121,91,63,28,82,57,25,0.91,9,0.098901,0.107143,00:00:22
122,163,114,49,154,108,46,0.95,9,0.055215,0.061224,00:00:13
123,57,39,18,53,36,16,0.93,4,0.070175,0.111111,00:00:21
124,137,95,42,130,90,39,0.95,7,0.051095,0.071429,00:00:16
125,73,51,22,67,46,20,0.92,6,0.082192,0.090909,00:00:02
126,157,109,48,153,106,47,0.98,4,0.025478,0.020833,00:00:11
127,260,182,78,254,178,76,0.98,6,0.023077,0.025641,00:00:10
128,219,153,66,219,153,66,1.0,0,0.0,0.0,00:00:15
129,254,177,77,233,162,70,0.92,21,0.082677,0.090909,00:00:17
130,150,105,45,144,100,43,0.96,6,0.04,0.044444,00:00:08
131,145,101,44,137,95,41,0.95,8,0.055172,0.068182,00:00:18
132,262,183,79,243,170,73,0.93,19,0.072519,0.075949,00:00:23
133,288,201,87,270,188,81,0.94,18,0.0625,0.068966,00:00:09
134,227,158,69,213,148,64,0.94,14,0.061674,0.072464,00:00:08
135,166,116,50,161,112,48,0.97,5,0.03012,0.04,00:00:14
136,194,135,59,186,129,56,0.96,8,0.041237,0.050847,00:00:18
137,254,177,77,241,168,73,0.95,13,0.051181,0.051948,00:00:22
138,263,184,79,239,167,71,0.91,24,0.091255,0.101266,00:00:20
139,201,140,61,182,127,55,0.91,19,0.094527,0.098361,00:00:20
140,181,126,55,162,113,49,0.9,19,0.104972,0.109091,00:00:21
141,189,132,57,189,132,57,1.0,0,0.0,0.0,00:00:12
142,125,87,38,112,78,34,0.9,13,0.104,0.105263,00:00:19
143,262,183,79,238,166,71,0.91,24,0.091603,0.101266,00:00:14
144,209,146,63,194,135,58,0.93,15,0.07177,0.079365,00:00:17
145,142,99,43,139,97,42,0.98,3,0.021127,0.023256,00:00:24
146,81,56,25,81,56,25,1.0,0,0.0,0.0,00:00:21
147,297,207,90,291,202,88,0.98,6,0.020202,0.022222,00:00:03
148,142,99,43,137,96,41,0.97,5,0.035211,0.046512,00:00:23
149,130,91,39,123,86,37,0.95,7,0.053846,0.051282,00:00:07
150,142,99,43,129,90,39,0.91,13,0.091549,0.093023,00:00:17
151,110,77,33,110,77,33,1.0,0,0.0,0.0,00:00:12
152,216,151,65,211,147,63,0.98,5,0.023148,0.030769,00:00:09
153,142,99,43,136,95,41,0.96,6,0.042254,0.046512,00:00:15
154,31,21,10,30,20,9,0.98,1,0.032258,0.1,00:00:18
155,159,111,48,154,107,46,0.97,5,0.031447,0.041667,00:00:21
156,249,174,75,239,167,72,0.96,10,0.040161,0.04,00:00:13
157,83,58,25,83,58,25,1.0,0,0.0,0.0,00:00:21
158,253,177,76,250,175,75,0.99,3,0.011858,0.013158,00:00:08
159,254,177,77,243,169,73,0.96,11,0.043307,0.051948,00:00:14
160,155,108,47,150,104,45,0.97,5,0.032258,0.042553,00:00:08
161,159,111,48,144,101,43,0.91,15,0.09434,0.104167,00:00:14
162,82,57,25,79,55,24,0.97,3,0.036585,0.04,00:00:07
163,201,140,61,180,126,54,0.9,21,0.104478,0.114754,00:00:23
164,247,172,75,237,165,72,0.96,10,0.040486,0.04,00:00:12
165,189,132,57,189,132,57,1.0,0,0.0,0.0,00:00:11
166,227,158,69,217,151,66,0.96,10,0.044053,0.043478,00:00:22
167,276,193,83,262,183,78,0.95,14,0.050725,0.060241,00:00:22
168,232,162,70,215,150,65,0.93,17,0.073276,0.071429,00:00:11
169,213,149,64,193,135,58,0.91,20,0.093897,0.09375,00:00:22
170,152,106,46,147,102,44,0.97,5,0.032895,0.043478,00:00:13
171,284,198,86,261,182,79,0.92,23,0.080986,0.081395,00:00:18
172,127,88,39,115,80,35,0.91,12,0.094488,0.102564,00:00:02
173,227,158,69,213,148,64,0.94,14,0.061674,0.072464,00:00:21
174,269,188,81,263,184,79,0.98,6,0.022305,0.024691,00:00:15
175,173,121,52,167,117,50,0.97,6,0.034682,0.038462,00:00:20
176,126,88,38,114,80,34,0.91,12,0.095238,0.105263,00:00:18
177,230,161,69,218,152,65,0.95,12,0.052174,0.057971,00:00:15
178,153,107,46,145,101,43,0.95,8,0.052288,0.065217,00:00:19
179,216,151,65,207,144,62,0.96,9,0.041667,0.046154,00:00:23
180,288,201,87,279,194,84,0.97,9,0.03125,0.034483,00:00:24
181,177,123,54,166,115,50,0.94,11,0.062147,0.074074,00:00:12
182,281,196,85,269,188,81,0.96,12,0.042705,0.047059,00:00:13
183,176,123,53,167,116,50,0.95,9,0.051136,0.056604,00:00:22
184,177,123,54,175,121,53,0.99,2,0.011299,0.018519,00:00:11
185,228,159,69,216,151,65,0.95,12,0.052632,0.057971,00:00:05
186,157,109,48,147,102,45,0.94,10,0.063694,0.0625,00:00:01
187,68,47,21,63,44,19,0.94,5,0.073529,0.095238,00:00:24
188,158,110,48,151,105,46,0.96,7,0.044304,0.041667,00:00:03
189,296,207,89,290,202,87,0.98,6,0.02027,0.022472,00:00:22
190,180,125,55,171,118,52,0.95,9,0.05,0.054545,00:00:19
191,128,89,39,124,86,37,0.97,4,0.03125,0.051282,00:00:23
192,292,204,88,283,197,85,0.97,9,0.030822,0.034091,00:00:07
193,281,196,85,266,186,80,0.95,15,0.053381,0.058824,00:00:12
194,173,121,52,162,113,48,0.94,11,0.063584,0.076923,00:00:15
195,141,98,43,139,97,42,0.99,2,0.014184,0.023256,00:00:05
196,89,62,27,83,58,25,0.94,6,0.067416,0.074074,00:00:15
197,31,21,10,29,19,9,0.95,2,0.064516,0.1,00:00:08
198,283,198,85,283,198,85,1.0,0,0.0,0.0,00:00:10
199,169,118,51,152,106,45,0.9,17,0.100592,0.117647,00:00:16
200,66,46,20,60,42,18,0.92,6,0.090909,0.1,00:00:08
201,189,132,57,177,124,53,0.94,12,0.063492,0.070175,00:00:01
202,38,26,12,37,25,11,0.99,1,0.026316,0.083333,00:00:12
203,262,183,79,238,166,71,0.91,24,0.091603,0.101266,00:00:05
204,128,89,39,115,80,35,0.9,13,0.101562,0.102564,00:00:03
205,176,123,53,160,111,48,0.91,16,0.090909,0.09434,00:00:01
206,237,165,72,215,150,65,0.91,22,0.092827,0.097222,00:00:04
207,160,112,48,144,100,43,0.9,16,0.1,0.104167,00:00:08
208,181,126,55,171,119,52,0.95,10,0.055249,0.054545,00:00:03
209,83,58,25,79,55,24,0.96,4,0.048193,0.04,00:00:10
210,149,104,45,138,96,41,0.93,11,0.073826,0.088889,00:00:02
211,190,133,57,178,125,53,0.94,12,0.063158,0.070175,00:00:11
212,145,101,44,131,91,40,0.91,14,0.096552,0.090909,00:00:10
213,104,72,32,96,66,29,0.93,8,0.076923,0.09375,00:00:21
214,142,99,43,134,94,40,0.95,8,0.056338,0.069767,00:00:14
215,133,93,40,129,90,38,0.97,4,0.030075,0.05,00:00:07
216,283,198,85,254,178,76,0.9,29,0.102473,0.105882,00:00:02
217,256,179,77,243,170,73,0.95,13,0.050781,0.051948,00:00:09
218,141,98,43,131,91,39,0.93,10,0.070922,0.093023,00:00:16
219,128,89,39,126,88,38,0.99,2,0.015625,0.025641,00:00:13
220,182,127,55,176,123,53,0.97,6,0.032967,0.036364,00:00:09
221,223,156,67,214,149,64,0.96,9,0.040359,0.044776,00:00:20
222,192,134,58,178,124,53,0.93,14,0.072917,0.086207,00:00:04
223,237,165,72,234,163,71,0.99,3,0.012658,0.013889,00:00:22
224,198,138,60,178,124,54,0.9,20,0.10101,0.1,00:00:10
225,190,133,57,172,121,51,0.91,18,0.094737,0.105263,00:00:22
226,97,67,30,91,62,28,0.94,6,0.061856,0.066667,00:00:12
227,164,114,50,149,103,45,0.91,15,0.091463,0.1,00:00:17
228,224,156,68,224,156,68,1.0,0,0.0,0.0,00:00:14
229,157,109,48,153,106,47,0.98,4,0.025478,0.020833,00:00:14
230,62,43,19,57,39,17,0.93,5,0.080645,0.105263,00:00:02
231,205,143,62,196,137,59,0.96,9,0.043902,0.048387,00:00:21
232,51,35,16,51,35,16,1.0,0,0.0,0.0,00:00:20
233,267,186,81,264,184,80,0.99,3,0.011236,0.012346,00:00:11
234,187,130,57,179,124,54,0.96,8,0.042781,0.052632,00:00:16
235,67,46,21,66,45,20,0.99,1,0.014925,0.047619,00:00:19
236,259,181,78,259,181,78,1.0,0,0.0,0.0,00:00:23
237,80,56,24,77,54,23,0.97,3,0.0375,0.041667,00:00:06
238,293,205,88,266,186,80,0.91,27,0.09215,0.090909,00:00:24
239,56,39,17,52,36,15,0.94,4,0.071429,0.117647,00:00:19
240,255,178,77,249,174,75,0.98,6,0.023529,0.025974,00:00:05
241,126,88,38,115,80,34,0.92,11,0.087302,0.105263,00:00:04
242,176,123,53,172,120,51,0.98,4,0.022727,0.037736,00:00:15
243,33,23,10,30,20,9,0.91,3,0.090909,0.1,00:00:04
244,64,44,20,57,39,18,0.9,7,0.109375,0.1,00:00:20
245,221,154,67,207,144,62,0.94,14,0.063348,0.074627,00:00:10
246,78,54,24,70,48,21,0.9,8,0.102564,0.125,00:00:24
247,46,32,14,46,32,14,1.0,0,0.0,0.0,00:00:22
248,201,140,61,196,137,59,0.98,5,0.024876,0.032787,00:00:03
249,249,174,75,244,170,73,0.98,5,0.02008,0.026667,00:00:05
250,187,130,57,179,124,54,0.96,8,0.042781,0.052632,00:00:06
251,75,52,23,69,47,21,0.92,6,0.08,0.086957,00:00:21
252,35,24,11,33,22,10,0.95,2,0.057143,0.090909,00:00:22
253,128,89,39,122,85,37,0.96,6,0.046875,0.051282,00:00:08
254,262,183,79,248,173,75,0.95,14,0.053435,0.050633,00:00:07
255,66,46,20,61,42,18,0.93,5,0.075758,0.1,00:00:21
256,210,147,63,199,139,59,0.95,11,0.052381,0.063492,00:00:10
257,124,86,38,117,81,36,0.95,7,0.056452,0.052632,00:00:06
258,128,89,39,128,89,39,1.0,0,0.0,0.0,00:00:14
259,217,151,66,214,149,65,0.99,3,0.013825,0.015152,00:00:04
260,145,101,44,137,95,41,0.95,8,0.055172,0.068182,00:00:13
261,220,154,66,211,147,63,0.96,9,0.040909,0.045455,00:00:20
262,282,197,85,273,191,82,0.97,9,0.031915,0.035294,00:00:17
263,190,133,57,171,119,51,0.9,19,0.1,0.105263,00:00:23
264,285,199,86,282,197,85,0.99,3,0.010526,0.011628,00:00:07
265,157,109,48,155,107,47,0.99,2,0.012739,0.020833,00:00:04
266,47,32,15,44,30,14,0.95,3,0.06383,0.066667,00:00:14
267,252,176,76,236,165,71,0.94,16,0.063492,0.065789,00:00:03
268,83,58,25,77,53,23,0.93,6,0.072289,0.08,00:00:24
269,87,60,27,82,57,25,0.95,5,0.057471,0.074074,00:00:05
270,203,142,61,182,127,54,0.9,21,0.103448,0.114754,00:00:16
271,143,100,43,141,99,42,0.99,2,0.013986,0.023256,00:00:23
272,180,125,55,162,112,49,0.9,18,0.1,0.109091,00:00:20
273,156,109,47,145,101,43,0.93,11,0.070513,0.085106,00:00:04
274,184,128,56,182,126,55,0.99,2,0.01087,0.017857,00:00:24
275,133,93,40,129,90,38,0.97,4,0.030075,0.05,00:00:24
276,275,192,83,255,178,77,0.93,20,0.072727,0.072289,00:00:02
277,205,143,62,190,132,57,0.93,15,0.073171,0.080645,00:00:18
278,68,47,21,61,42,18,0.9,7,0.102941,0.142857,00:00:19
279,199,139,60,193,134,58,0.97,6,0.030151,0.033333,00:00:19
280,276,193,83,248,173,74,0.9,28,0.101449,0.108434,00:00:17
281,55,38,17,52,36,16,0.95,3,0.054545,0.058824,00:00:14
282,42,29,13,42,29,13,1.0,0,0.0,0.0,00:00:19
283,65,45,20,59,40,18,0.91,6,0.092308,0.1,00:00:22
284,202,141,61,199,139,60,0.99,3,0.014851,0.016393,00:00:24
285,49,34,15,49,34,15,1.0,0,0.0,0.0,00:00:13
286,293,205,88,266,186,80,0.91,27,0.09215,0.090909,00:00:12
287,171,119,52,169,117,51,0.99,2,0.011696,0.019231,00:00:06
288,172,120,52,163,114,49,0.95,9,0.052326,0.057692,00:00:21
289,121,84,37,119,83,36,0.99,2,0.016529,0.027027,00:00:04
290,244,170,74,234,163,71,0.96,10,0.040984,0.040541,00:00:19
291,80,56,24,77,54,23,0.97,3,0.0375,0.041667,00:00:16
292,182,127,55,172,120,52,0.95,10,0.054945,0.054545,00:00:13
293,215,150,65,212,148,64,0.99,3,0.013953,0.015385,00:00:04
294,92,64,28,89,62,27,0.97,3,0.032609,0.035714,00:00:23
295,219,153,66,208,145,62,0.95,11,0.050228,0.060606,00:00:17
296,154,107,47,152,105,46,0.99,2,0.012987,0.021277,00:00:23
297,179,125,54,164,115,49,0.92,15,0.083799,0.092593,00:00:01
298,87,60,27,80,55,24,0.92,7,0.08046,0.111111,00:00:18
299,209,146,63,192,134,57,0.92,17,0.08134,0.095238,00:00:20
300,199,139,60,185,129,55,0.93,14,0.070352,0.083333,00:00:17
301,83,58,25,76,53,23,0.92,7,0.084337,0.08,00:00:15
302,130,91,39,128,90,38,0.99,2,0.015385,0.025641,00:00:11
303,293,205,88,266,186,80,0.91,27,0.09215,0.090909,00:00:22
304,82,57,25,79,55,24,0.97,3,0.036585,0.04,00:00:13
305,89,62,27,81,57,24,0.92,8,0.089888,0.111111,00:00:01
306,137,95,42,135,94,41,0.99,2,0.014599,0.02381,00:00:17
307,34,23,11,34,23,11,1.0,0,0.0,0.0,00:00:06
308,132,92,40,125,87,38,0.95,7,0.05303,0.05,00:00:04
309,225,157,68,222,155,67,0.99,3,0.013333,0.014706,00:00:20
310,291,203,88,261,182,79,0.9,30,0.103093,0.102273,00:00:16
311,76,53,23,74,51,22,0.98,2,0.026316,0.043478,00:00:15
312,173,121,52,159,111,47,0.92,14,0.080925,0.096154,00:00:15
313,298,208,90,295,205,89,0.99,3,0.010067,0.011111,00:00:06
314,153,107,46,137,96,41,0.9,16,0.104575,0.108696,00:00:15
315,135,94,41,129,90,39,0.96,6,0.044444,0.04878,00:00:14
316,187,130,57,183,127,55,0.98,4,0.02139,0.035088,00:00:11
317,176,123,53,163,114,49,0.93,13,0.073864,0.075472,00:00:07
318,174,121,53,160,111,48,0.92,14,0.08046,0.09434,00:00:09
319,149,104,45,135,94,40,0.91,14,0.09396,0.111111,00:00:16
320,121,84,37,112,78,34,0.93,9,0.07438,0.081081,00:00:05
321,87,60,27,83,57,25,0.96,4,0.045977,0.074074,00:00:20
322,258,180,78,234,163,70,0.91,24,0.093023,0.102564,00:00:10
323,146,102,44,137,95,41,0.94,9,0.061644,0.068182,00:00:18
324,156,109,47,140,98,42,0.9,16,0.102564,0.106383,00:00:03
325,158,110,48,154,107,47,0.98,4,0.025316,0.020833,00:00:13
326,87,60,27,79,54,24,0.91,8,0.091954,0.111111,00:00:11
327,151,105,46,140,97,42,0.93,11,0.072848,0.086957,00:00:17
328,30,21,9,27,18,8,0.9,3,0.1,0.111111,00:00:22
329,268,187,81,251,175,76,0.94,17,0.063433,0.061728,00:00:13
330,125,87,38,122,85,37,0.98,3,0.024,0.026316,00:00:06
331,155,108,47,145,101,44,0.94,10,0.064516,0.06383,00:00:17
332,147,102,45,135,93,41,0.92,12,0.081633,0.088889,00:00:13
333,77,53,24,75,51,23,0.98,2,0.025974,0.041667,00:00:19
334,118,82,36,115,80,35,0.98,3,0.025424,0.027778,00:00:21
335,266,186,80,244,171,73,0.92,22,0.082707,0.0875,00:00:19
336,218,152,66,213,148,64,0.98,5,0.022936,0.030303,00:00:10
337,221,154,67,218,152,66,0.99,3,0.013575,0.014925,00:00:03
338,98,68,30,90,62,27,0.92,8,0.081633,0.1,00:00:14
339,276,193,83,270,189,81,0.98,6,0.021739,0.024096,00:00:19
340,105,73,32,101,70,31,0.97,4,0.038095,0.03125,00:00:05
341,183,128,55,173,121,52,0.95,10,0.054645,0.054545,00:00:05
342,173,121,52,157,110,47,0.91,16,0.092486,0.096154,00:00:20
343,115,80,35,104,72,31,0.91,11,0.095652,0.114286,00:00:17
344,214,149,65,211,147,64,0.99,3,0.014019,0.015385,00:00:21
345,249,174,75,249,174,75,1.0,0,0.0,0.0,00:00:10
346,98,68,30,95,65,29,0.97,3,0.030612,0.033333,00:00:05
347,76,53,23,71,49,21,0.94,5,0.065789,0.086957,00:00:04
348,123,86,37,118,82,35,0.96,5,0.04065,0.054054,00:00:06
349,267,186,81,256,178,77,0.96,11,0.041199,0.049383,00:00:04
350,233,163,70,219,153,65,0.94,14,0.060086,0.071429,00:00:07
351,247,172,75,224,156,68,0.91,23,0.093117,0.093333,00:00:07
352,68,47,21,66,46,20,0.98,2,0.029412,0.047619,00:00:18
353,129,90,39,121,84,36,0.94,8,0.062016,0.076923,00:00:03
354,283,198,85,277,194,83,0.98,6,0.021201,0.023529,00:00:01
355,251,175,76,233,162,70,0.93,18,0.071713,0.078947,00:00:24
356,52,36,16,46,32,14,0.9,6,0.115385,0.125,00:00:04
357,279,195,84,256,179,77,0.92,23,0.082437,0.083333,00:00:06
358,39,27,12,37,25,11,0.95,2,0.051282,0.083333,00:00:09
359,275,192,83,272,190,82,0.99,3,0.010909,0.012048,00:00:22
360,129,90,39,117,81,35,0.91,12,0.093023,0.102564,00:00:14
361,209,146,63,206,144,62,0.99,3,0.014354,0.015873,00:00:12
362,252,176,76,239,167,72,0.95,13,0.051587,0.052632,00:00:20
363,279,195,84,273,191,82,0.98,6,0.021505,0.02381,00:00:24
364,176,123,53,163,114,49,0.93,13,0.073864,0.075472,00:00:04
365,125,87,38,122,85,37,0.98,3,0.024,0.026316,00:00:21
366,286,200,86,280,196,84,0.98,6,0.020979,0.023256,00:00:24
367,33,23,10,30,21,9,0.92,3,0.090909,0.1,00:00:12
368,45,31,14,40,28,12,0.91,5,0.111111,0.142857,00:00:10
369,276,193,83,273,191,82,0.99,3,0.01087,0.012048,00:00:22
370,287,200,87,287,200,87,1.0,0,0.0,0.0,00:00:07
371,189,132,57,170,118,51,0.9,19,0.100529,0.105263,00:00:03
372,181,126,55,175,122,53,0.97,6,0.033149,0.036364,00:00:23
373,207,144,63,204,142,62,0.99,3,0.014493,0.015873,00:00:14
374,192,134,58,190,132,57,0.99,2,0.010417,0.017241,00:00:24
375,62,43,19,62,43,19,1.0,0,0.0,0.0,00:00:10
376,208,145,63,203,142,61,0.98,5,0.024038,0.031746,00:00:16
377,130,91,39,122,85,36,0.94,8,0.061538,0.076923,00:00:16
378,297,207,90,276,192,83,0.93,21,0.070707,0.077778,00:00:22
379,94,65,29,87,60,26,0.93,7,0.074468,0.103448,00:00:10
380,197,137,60,191,132,58,0.97,6,0.030457,0.033333,00:00:13
381,72,50,22,69,48,21,0.97,3,0.041667,0.045455,00:00:06
382,73,51,22,67,46,20,0.92,6,0.082192,0.090909,00:00:12
383,41,28,13,40,27,12,0.99,1,0.02439,0.076923,00:00:09
384,124,86,38,120,83,36,0.97,4,0.032258,0.052632,00:00:13
385,282,197,85,270,189,81,0.96,12,0.042553,0.047059,00:00:04
386,271,189,82,257,179,77,0.95,14,0.051661,0.060976,00:00:24
